2014-11-21,634122
2014-11-20,672189
2014-11-23,722978
2014-11-22,668509
2014-11-25,699413
2014-11-24,718217
2014-11-27,689855
2014-11-26,679323
2014-11-29,684442
2014-11-28,658806
2014-12-9,767838
2014-12-8,753138
2014-12-1,744363
2014-12-3,788689
2014-12-2,753810
2014-12-5,693593
2014-12-4,745391
2014-12-7,763498
2014-12-6,732821
2014-11-30,751093
2014-11-18,684628
2014-11-19,687528
2014-12-18,711839
2014-12-11,944979
2014-12-10,788712
2014-12-13,777013
2014-12-12,1344980
2014-12-15,764085
2014-12-14,779285
2014-12-17,734520
2014-12-16,751370
