,0,1,2,3
2014-12-17 01,12648,353,302,63
2014-12-17 00,26086,636,688,178
2014-12-17 03,4888,147,136,32
2014-12-17 02,6713,150,186,34
2014-12-17 05,4042,77,118,31
2014-12-17 04,3842,104,104,26
2014-12-17 07,13148,281,356,85
2014-12-17 06,8778,159,227,34
2014-12-17 09,26357,616,728,298
2014-12-17 08,20377,401,486,199
2014-12-17 12,32465,915,928,416
2014-12-17 13,35926,844,1140,435
2014-12-17 10,31580,651,965,518
2014-12-17 11,31712,669,1054,410
2014-12-17 16,33486,705,867,351
2014-12-17 17,30708,558,709,358
2014-12-17 14,34287,633,993,485
2014-12-17 15,34588,597,1118,489
2014-12-17 18,33136,685,898,293
2014-12-17 19,43542,922,1135,469
2014-12-17 23,44238,1084,1259,347
2014-12-17 22,61622,1415,1755,475
2014-12-17 21,66157,1197,1904,568
2014-12-17 20,52779,1030,1459,477
